工业和信息化部办公厅关于印发部民用爆炸物品专家咨询委员会委员名单的通知
发布日期: 2018-08-07 
工信厅安全〔2018〕48号
各省、自治区、直辖市民爆行业主管部门，相关单位：
为进一步推进民爆行业安全发展，聘请吴风来等100名专家组成工业和信息化部民用爆炸物品专家咨询委员会。现将委员名单印发你们，请充分发挥民爆行业咨询委的作用，切实抓好民爆行业管理和民爆行业安全监管工作落实。
　　特此通知。　　附件：工业和信息化部民用爆炸物品专家咨询委员会名单
　　
工业和信息化部办公厅 
2018年6月29日
附件：　　
工业和信息化部民用爆炸物品专家咨询委员会名单　　
序号 姓名 委员会职务 单位 职称  
43 李建红 委员 陕西北方民爆集团有限公司 研究员级高工 
44 李建湘 委员 长沙矿山研究院有限责任公司 教授级高工  
45 杨文锁 委员 隆烨集团吉林通博化工有限公司 高级工程师  
46 杨民刚 委员 中煤科工集团淮北爆破技术研究院有限公司 研究员  
47 杨权 委员 内蒙古自治区经济和信息化委员会 处长（退休）  
48 杨祖一 委员 广东宏大爆破股份有限公司 教授级高工  
49 杨耀华 委员 大同煤矿集团有限责任公司化工厂 高级工程师  
50 吴凤杰 委员 内蒙古日盛民爆集团日昊化工有限公司 高级工程师  
51 吴龙祥 委员 深圳市金奥博科技股份有限公司 教授级高工  
52 吴孝晟 委员 青海海西东诺化工有限公司 高级工程师  
53 吴建州 委员 大赛璐安全系统 (江苏 )有限公司 研究员  
54 余迅猛 委员 广西金建华民用爆破器材有限公司 高级工程师  
55 沈兆武 委员 中国科学技术大学 教授  
56 沈建根 委员 浙江震凯化工有限公司 高级工程师  
57 张长奎 委员 鞍钢矿业爆破有限公司 高级工程师  
58 张东平 委员 江西新余国泰特种化工有限责任公司 教授级高工  
59 张立和 委员 长春吉阳工业集团有限公司 高级工程师  
60 张永利 委员 前进民爆股份有限公司 高级工程师  
61 张吉安 委员 湖北国防科技工业办公室 副处长  
62 张顺双 委员 山东泰山民爆器材有限公司 高级工程师  
63 陈杰恒 委员 贵州盘江（化工）集团有限公司 高级工程师 
64 陈榕光 委员 福建省民用爆破器材行业协会 教授级高工  
65 欧庆奎 委员 江苏省国防科工办 调研员  
66 周小溪 委员 山东天宝化工股份有限公司 高级工程师  
67 郑正春 委员 江西省国防科工办 高级工程师  
68 查正清 委员 北京矿冶研究总院 教授级高工  
69 钟力林 委员 河北京煤太行化工有限公司 高级工程师  
70 重成兴 委员 川南航天能源科技有限公司 研究员  
71 段红 委员 新疆雪峰科技（集团）股份有限公司 高级工程师  
72 宫长青 委员 黑龙江海外民爆化工有限公司 高级工程师  
73 姚小虎 委员 徐州雷鸣民爆器材有限公司 高级工程师  
74 贾涛 委员 辽宁省工信委 副处长  
75 倪玉宝 委员 浙江永联民爆器材有限公司 高级工程师  
76 倪欧琪 委员 南京理工大学 研究员  
77 高中国 委员 雅化集团内蒙古柯达化工有限公司 高级工程师  
78 高明 委员 内蒙古生力集团红旗化工有限公司 高级工程师  
79 高洪伟 委员 长春汇维科技股份有限公司 高工  
80 高晓莉 委员 中国五洲工程设计集团有限公司 研究员级高工  
81 高毅 委员 云南燃一有限责任公司 高级工程师  
82 高潮 委员 新疆天河化工有限公司 高级工程师  
83 郭占江 委员 神华集团准格尔能源有限责任公司炸药厂 高级工程师 
84 郭和平 委员 山西壶化集团股份有限公司 高级工程师  
85 郭宝江 委员 河北云山化工集团有限公司 高级工程师  
86 唐胜 委员 重庆顺安爆破器材有限公司 高级工程师  
87 浦仕瀿 委员 云南民爆集团有限责任公司 高级工程师  
88 黄文尧 委员 安徽理工大学 教授  
89 曹长城 委员 北京安联国科科技资讯有限公司 高级工程师  
90 曹文俊 委员 北京京煤集团有限责任公司 教授级高工  
91 曹敏忠 委员 中国兵器工业第 213研究所 研究员级高工  
92 曹景祥 委员 大连船舶重工集团爆炸加工研究所有限公司 高工  
93 康彦波 委员 中国五洲工程设计集团有限公司 教授级高工  
94 梁金刚 委员 山东圣世达化工有限责任公司 高级工程师  
95 梁复兴 委员 河南豫煤爆破器材股份有限公司 高级工程师  
96 覃小雄 委员 广西柳州威奇化工有限责任公司 高级工程师  
97 程治平 委员 河北云山化工集团有限公司峰峰民爆分公司 高级工程师  
98 温金平 委员 山西焦煤集团化工有限责任公司 高级经济师  
99 蔡景乐 委员 江西威源民爆器材有限责任公司六六一厂 高级工程师  
100 熊代余 委员 北京矿冶研究总院 教授级高工 


